平成27年,人口動態調査,,
上巻　付録　第１表　年次・性別人口
　
注：昭和24年以前：現在地人口
　　昭和25年以降：常住人口
　
,総数,　男,　女
1899,43404000,21836000,21568000
1900,43847000,22051000,21796000
　01,44359000,22298000,22061000
　02,44964000,22606000,22358000
　03,45546000,22901000,22645000
　04,46135000,23195000,22940000
　05,46620000,23421000,23199000
　06,47038000,23599000,23439000
　07,47416000,23786000,23630000
　08,47965000,24041000,23924000
　09,48554000,24326000,24228000
1910,49184000,24650000,24534000
　11,49852000,24993000,24859000
　12,50577000,25365000,25212000
　13,51305000,25737000,25568000
　14,52039000,26105000,25934000
　15,52752000,26465000,26287000
　16,53496000,26841000,26655000
　17,54134000,27158000,26976000
　18　,54739000,27453000,27286000
　19　,55033000,27602000,27431000
1920,55963053,28044185,27918868
　21,56665900,28411700,28254200
　22,57390100,28799700,28590300
　23,58119200,29176900,28942300
　24,58875600,29568700,29306900
　25,59736822,30013109,29723713
　26,60740900,30521300,30219600
　27,61659300,30981500,30677800
　28,62595300,31449100,31146100
　29,63460600,31890600,31570000
1930,64450005,32390155,32059850
　31,65457500,32898500,32559000
　32,66433800,33354600,33079200
　33,67431600,33844500,33587000
　34,68308900,34293800,34015100
　35,69254148,34734133,34520015
　36,70113600,35102800,35010800
　37,70630400,35127900,35502500
　38,71012600,35124900,35887700
　39,71379700,35225600,36154100
1940,71933000,35387400,36545600
　41,71680200,34706000,36974200
　42,72384500,34873400,37511100
　43,72883100,34766800,38116400
　44,73064300,34625000,38439400
　45,71998100,33894100,38104000
　46,73114100,34904600,38209500
　47,78101473,38129399,39972074
　48,80002500,39129900,40872500
　49,81772600,40062700,41709900
1950,83199637,40811760,42387877
　51,84573000,41494000,43079000
　52,85852000,42148000,43704000
　53,87033000,42749000,44284000
　54,88293000,43379000,44914000
1955,89275529,43860718,45414811
　56,90259000,44355000,45903000
　57,91088000,44771000,46317000
　58,92010000,45230000,46781000
　59,92971000,45707000,47264000
1960,93418501,45877602,47540899
　61,94285000,46304000,47981000
　62,95178000,46744000,48434000
　63,96156000,47230000,48925000
　64,97186000,47744000,49443000
　65,98274961,48244445,50030516
　66,99056000,48628000,50429000
　67,99637000,48899000,50738000
　68,100794000,49480000,51315000
　69,102022000,50103000,51919000
1970,103119447,50600539,52518908
　71,104345000,51225000,53120000
　72,105742000,51848000,53894000
　73,108079000,53001000,55078000
　74,109410000,53678000,55732000
　75,111251507,54724867,56526640
　76,112420000,55334000,57086000
　77,113499000,55860000,57639000
　78,114511000,56362000,58149000
　79,115465000,56837000,58628000
1980,116320358,57201287,59119071
　81,117204000,57654000,59551000
　82,118008000,58053000,59955000
　83,118786000,58435000,60352000
　84,119523000,58793000,60730000
　85,120265700,59044000,61221700
　86,120946000,59438000,61508000
　87,121535000,59723000,61811000
　88,122026000,59964000,62062000
　89,122460000,60171000,62289000
1990,122721397,60248969,62472428
　91,123102000,60425000,62677000
　92,123476000,60597000,62879000
　93,123788000,60730000,63057000
　94,124069000,60839000,63230000
　95,124298947,60919153,63379794
　96,124709000,61115000,63594000
　97,124963000,61210000,63753000
　98,125252000,61311000,63941000
　99,125432000,61358000,64074000
2000,125612633,61488005,64124628
2001　,125908000,61595000,64313000
2002,126008000,61591000,64417000
2003,126139000,61620000,64520000
2004,126176000,61597000,64579000
2005,126204902,61617893,64587009
2006,126154000,61568000,64586000
2007,126085000,61511000,64574000
2008,125947000,61424000,64523000
2009,125820000,61339000,64481000
2010,126381728,61571727,64810001
2011,126180000,61453000,64727000
2012,125957000,61328000,64630000
2013,125704000,61186000,64518000
2014,125431000,61041000,64391000
2015,125319299,61022756,64296543
